Hospital Name,Address
BBC Heart Care (Pruthi Hospital),"301, Lajpat Nagar, Jalandhar City, PIN-144001"
Joshi Superspeciality And Multispeciality Hospital,"Kapurthala Chowk, Jalandhar (Punjab)"
Tagore Hospital & Heart Care Centre,"Banda Bahadur Nagar, Mahavir Marg, Jallandhar"
IVY Hospital (A Unit of IVY Health & Life Sciences (P) Ltd.),"SAS Nagar, Sector-71, Mohali, PIN-160071 (Punjab)"
Capitol Hospital,"Jalandhar-Pathankot Road (NH-44), Near Reru Chowk, Jalandhar (Punjab)"
"Fortis Hospital, Mohali","Sector-62, Phase-VIII,Mohali, Punjab-160062"
Max Super Speciality (A Unit of Homitrial Estate Pvt Ltd),"Near Civil Hospital, Phase-VI Mohali, Punjab 140110"
Chauhan Multispeciality & Trauma Centre,"Amritsar Pathankot Highway, Kotli, Pathankot (Punjab)"
Mohan Dai Oswal Memorial Hospital,"G.T. Road Sherpur Chowk, By-Pass Ludhiana 141009"
Kullu Valley Hospital (A Unit of Banga Hospitals Pvt. Ltd.),"Shastri Nagar, Kullu, PIN-175101 (Himachal Pradesh)"
Fortis Hospital Kangra,Kangra Dharamshala Road(HP)176001
Himachal Heart Institute,"Vill & PO - Gutkar, (NH-21), Tehsil - Balh, Mandi - 175001 (HP)"
Shri Harihar Hospital Private Limited,"Bhuntar, Distt. - Kullu, Himachal Pradesh - 175125"
