Hospital Name,Address,Latitude,Longitude
AMRI Hospital,"16 & 17, Sector-III, Salt Lake, Kolkata-700098",22.56836592,88.41164198
Center for Sight (A Unit of New Delhi Center for Sight Ltd.),"A-31, PC Colony, Kankarbagh, Patna-800020",28.6139298,77.2088282
Jayprabha Medanta Superspeciality Hospital (A Unit of M/s Global Health Patliputra Pvt. Ltd.),"Kankarbagh Main Road, Kankarbagh Colony, Patna-800020 (Bihar)",25.5995732,85.1529168
Hi-Tech Emergency Hospital,"Saguna More, Khagaul Road, Patna-801503",25.6209763,85.0407458
Jagdish Memorial Hospital (A Unit of Jagdish Memorial Hospital Pvt. Ltd.),"Lohia Nagar, Kankarbagh, Patna-800020",25.5990106,85.1571194
Asian City Hospital (A Unit of Blue Sapphire Healthcare Private Limited),"Behind P and M Mall, Patliputra Industrial Area, Patna - 800013",25.6340301,85.1063556
M/s Kurji Holy Family Hospital,Kurji Patna,25.6359018,85.1116643
Fortis Hospitals Limited,"Mulund Goregaon Link Road, Bhandup (West) Mumbai-400078",19.1612989,72.9412566
Jaslok Hospital & Research Centre,"15, Dr. G. Deshmukh Marg, Mumbai-400026",18.9715715,72.8099571
BSES MG Hospital,"S V Road, Opp. Railway Station, Andheri (W), Mumbai-400058",19.1386175,72.8451695
Alexis Multi Specialty Hospital Private Ltd.,"Survey No. 232, H. No. 1313, Mankapura Square, Karodi Road, Nagpur-440030 (Maharastra)",21.1857573,79.0795349
Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute (Unit of Mandke Foundation),"Four Bungalows, Andheri West, Mumbai-400053",19.1311225,72.8246837
Lilavati Hospital and Research Centre,"A-791, Bandra Reclamation, Bandra (W), Mumbai-400050",19.0510043,72.8293225
Apollo Hospital Enterprise Limited,"Plot No. 13, Sector-23, Parsik Hill Road, CBD Belapur, Navi Mumbai-400614",19.021761,73.028511
Surya Childrens Medicare Pvt. Ltd.,"S.V. Road, Santa Cruz (West), Mumbai - 400054",19.0855574,72.8378872
Kalyani Hospital,"Near Radha Swami Satsang Bhawan, A B College Road, Pathankot (Punjab) 145001",32.265122,75.679292
Amandeep Hospital,Dalhousie Road Mamoon Pathankot(Punjab),32.276139,75.6948055
BBC Heart Care (Pruthi Hospital),"301, Lajpat Nagar, Jalandhar City, PIN-144001",31.3175625,75.5741687
Joshi Superspeciality And Multispeciality Hospital,"Kapurthala Chowk, Jalandhar (Punjab)",31.3346013,75.5624417
Tagore Hospital & Heart Care Centre,"Banda Bahadur Nagar, Mahavir Marg, Jallandhar",31.33711187,75.56324353
IVY Hospital (A Unit of IVY Health & Life Sciences (P) Ltd.),"SAS Nagar, Sector-71, Mohali, PIN-160071 (Punjab)",30.7069677,76.70810604
Capitol Hospital,"Jalandhar-Pathankot Road (NH-44), Near Reru Chowk, Jalandhar (Punjab)",31.3645623,75.5968843
"Fortis Hospital, Mohali","Sector-62, Phase-VIII,Mohali, Punjab-160062",30.6952395,76.7314121
Max Super Speciality (A Unit of Homitrial Estate Pvt Ltd),"Near Civil Hospital, Phase-VI Mohali, Punjab 140110",30.7276884,76.7062336
Chauhan Multispeciality & Trauma Centre,"Amritsar Pathankot Highway, Kotli, Pathankot (Punjab)",32.23328999,75.55328494
Mohan Dai Oswal Memorial Hospital,"G.T. Road Sherpur Chowk, By-Pass Ludhiana 141009",30.6604908,76.2975805
Kullu Valley Hospital (A Unit of Banga Hospitals Pvt. Ltd.),"Shastri Nagar, Kullu, PIN-175101 (Himachal Pradesh)",31.9427307,77.1089637
Fortis Hospital Kangra,Kangra Dharamshala Road(HP)176001,32.1160198,76.282065
Himachal Heart Institute,"Vill & PO - Gutkar, (NH-21), Tehsil - Balh, Mandi - 175001 (HP)",31.6648197,76.9437829
Shri Harihar Hospital Private Limited,"Bhuntar, Distt. - Kullu, Himachal Pradesh - 175125",31.8952691,77.1499433
